"Year","State","District","Village","pH","EC","P","K","Ca","Mg","S","Zn","B","Fe","Cu","Mn","C","Lon","Lat","soil_type"
2016,"Andhra Pradesh","YSR Kadapa","Bakarapuram",8.15,0.218,12.425,95.05,694.75,241.3,18.77,16.12,0.84,5.82,0.8,13.6,0.37,79.3509888889,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Bakarapuram",7.6,1.187,26.789,202.1,1039.1,370.9,129.716,4.88,1.08,5.56,0.82,11.7,0.519,79.3503666669,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Bakarapuram",7.73,0.223,12.49,136,647.7,198.55,16.68,2,0.82,6.68,0.88,19.26,0.417,79.3506027776,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Nagavaram",7.41,0.531,33.803,209.75,748,210.45,24.375,2.22,0.94,6.4,0.96,19.84,0.365,79.3513361109,14.0166666669,""
2016,"Andhra Pradesh","YSR Kadapa","Nagavaram",7.36,0.542,33.65,214.55,761,214.1,23.642,2.24,0.86,6.2,0.98,19.08,0.422,79.3516222221,14.0166666669,""
2016,"Andhra Pradesh","YSR Kadapa","Nagavaram",7.41,0.514,33.848,212.75,730.95,209.55,22.566,2.04,0.82,5.46,0.88,16.4,0.427,79.3516194441,14.0166666669,""
2016,"Andhra Pradesh","YSR Kadapa","Malemarpuram",8.14,0.762,8.07,168,1971.5,364.4,96.103,1.12,1.22,3.66,0.64,5.86,0.506,79.3009444445,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Malemarpuram",8.14,1.113,17.073,131.45,1350.05,337.45,204.216,0.62,1.54,5.8,0.96,8.34,0.525,79.3011416668,14.1833333336,""
2016,"Andhra Pradesh","YSR Kadapa","Malemarpuram",6.81,0.266,6.601,108.15,1018.5,214.7,8.733,0.58,0.58,5.56,1.46,35.34,0.506,79.3009694448,14.1833333336,""
2016,"Andhra Pradesh","YSR Kadapa","Thummak nda",8.05,0.465,19.816,329.1,1694.8,851.55,20.745,0.92,2.5,3.94,1.68,5.42,0.704,79.3342166668,14.1166666667,""
2016,"Andhra Pradesh","YSR Kadapa","Thummak nda",8.25,0.384,39.919,265.15,1927.05,892.05,27.239,0.6,1.86,6.3,1.58,12.28,0.649,79.334144444,14.0666666668,""
2016,"Andhra Pradesh","YSR Kadapa","Mallemarpuram (Nakkalapalli)",7.93,2.9,39.803,278.65,2025,773.3,569.563,0.88,2,6.16,1.08,4.7,0.697,79.269058333,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Mallemarpuram (Nakkalapalli)",8.03,1.578,27.101,211.9,1851.55,596.25,331.708,0.72,1.76,4.86,1.18,5.16,0.511,79.2692138887,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Mallemarpuram (Nakkalapalli)",7.81,1.49,46.357,363.5,2017.4,951.35,279.431,1.98,3.84,3.18,1.58,7.98,1.291,79.2693944447,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Kampasamudram",8.15,0.237,29.634,89.45,685.6,324.8,18.838,1.76,1.08,9.82,1.54,6.94,0.456,79.3357777774,14.1333333337,""
2016,"Andhra Pradesh","YSR Kadapa","Kampasamudram",8.42,0.118,19.201,76.95,530,191.9,8.326,0.48,0.72,3.24,0.48,7.7,0.125,79.3346388886,14.1333333337,""
2016,"Andhra Pradesh","YSR Kadapa","Kampasamudram",8.47,0.204,15.45,58.6,950.75,247,16.134,0.78,0.92,11.8,0.66,4.62,0.233,79.3353055551,14.1333333337,""
2016,"Andhra Pradesh","YSR Kadapa","Chitvel",8.26,0.214,14.691,101.55,1613.65,160.1,19.239,1.04,0.9,7.96,0.62,5.14,0.383,79.3189055551,14.1499999997,""
2016,"Andhra Pradesh","YSR Kadapa","Chitvel",7.85,0.239,2.007,137.2,2353.2,484.45,26.977,0.24,0.74,4.76,0.7,2.58,0.093,79.3188222222,14.1499999997,""
2016,"Andhra Pradesh","YSR Kadapa","Devamaachupalli",6.74,0.06,1.988,153.8,918.6,287.3,5.456,0.84,0.52,9.4,2.18,7.18,0.227,79.3193888886,14.1833333336,""
2016,"Andhra Pradesh","YSR Kadapa","Devamaachupalli",7.44,0.465,33.253,223.85,726.85,209.05,20.276,2.38,0.86,5.2,0.84,17.22,0.418,79.3337222222,14.1833333336,""
2016,"Andhra Pradesh","YSR Kadapa","Devamaachupalli",7.88,0.248,2.826,109.45,1164.15,240.3,17.323,0.38,0.54,5.62,0.68,9.66,0.097,79.3191027774,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Devamaachupalli",8.33,0.195,4.682,135.3,1125.3,313.3,13.897,1.08,0.98,6.08,1.44,10.06,0.313,79.3192861114,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Devamaachupalli",7.42,0.398,3.041,215.75,1055.3,332.5,50.579,1.14,0.8,4.2,1.18,8.68,0.257,79.333972222,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Nagiripadu",7.4,0.385,2.843,201.05,982.3,315.95,49.548,1.04,0.72,4.32,1.14,7.52,0.241,79.3356861113,14.0999999998,""
2016,"Andhra Pradesh","YSR Kadapa","Nagiripadu",7.81,0.231,1.437,149.8,2368.5,497.35,28.157,0.1,0.6,5.64,0.74,2.9,0.104,79.3358583333,14.0999999998,""
2016,"Andhra Pradesh","YSR Kadapa","Rajakunta",7.75,0.254,1.277,141.7,2441.45,486.65,31.242,0.12,0.64,5.26,0.68,3.54,0.095,79.3842305558,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Rajakunta",7.79,0.253,1.377,148.55,2465.05,494.85,30.161,0.74,0.62,4.86,0.72,3.44,0.084,79.3842722223,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Chinthalachelika",7.72,0.425,48.707,233.35,1367.55,420.05,33.078,14.02,1.88,15.56,1.2,27.04,1.012,79.3694249999,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Chinthalachelika",7.76,0.234,2.21,159.7,2606.3,543.9,30.218,0.22,0.68,4.96,0.74,3.06,0.097,79.3694277779,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Siddareddypalli",7.73,0.335,7.397,149.4,2104.65,434.25,38.36,8.86,0.96,7.34,1.04,10,0.233,79.3181416665,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","K.V.R.R.Puram",7.8,0.242,1.6,165.55,2677.55,543.55,27.812,0.56,0.82,5.36,0.76,3.7,0.09,79.3360277782,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","K.V.R.R.Puram",7.79,0.364,8.743,134.05,1732.4,374.45,37.499,10.38,0.86,7.12,1.08,10.78,0.246,79.3513888885,14.033333333,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",7.85,0.42,4.369,210.9,2114.35,684.65,27.727,0.7,1.2,6.16,1.16,13.7,0.398,79.2503611111,13.9833333331,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",8.02,0.416,17.264,224.2,2278.3,830.65,21.34,2.14,1.2,11.1,1.32,16.84,0.451,79.2342527774,14,""
2016,"Andhra Pradesh","YSR Kadapa","Gadela",7.75,3.35,26.137,520,1864,567,222.744,1.26,1.8,9.08,1.74,16.54,0.479,79.23395,14,""
2016,"Andhra Pradesh","YSR Kadapa","G bburivaripalli",7.96,0.852,31.724,390.35,2543.1,948.8,24.746,4.1,3.26,10.3,1.52,15.7,1.166,79.2513527782,14.0999999998,""
